Instance,Terminal,Layer,X location,Y location,Voltage
IO_FILL_IO_NORTH_8_50,vdd,Metal1,1823.0000,4706.2750,1.199978
IO_FILL_IO_NORTH_7_100,vdd,Metal1,1665.0000,4706.2750,1.199978
IO_FILL_IO_NORTH_7_50,vdd,Metal1,1639.0000,4706.2750,1.199978
IO_FILL_IO_NORTH_6_100,vdd,Metal1,1481.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_6_50,vdd,Metal1,1455.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_5_100,vdd,Metal1,1297.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_5_50,vdd,Metal1,1271.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_4_100,vdd,Metal1,1113.0000,4706.2750,1.199980
IO_FILL_IO_NORTH_4_50,vdd,Metal1,1087.0000,4706.2750,1.199980
IO_FILL_IO_NORTH_3_100,vdd,Metal1,929.0000,4706.2750,1.199981
IO_FILL_IO_NORTH_3_50,vdd,Metal1,903.0000,4706.2750,1.199981
IO_FILL_IO_NORTH_2_100,vdd,Metal1,745.0000,4706.2750,1.199982
IO_FILL_IO_NORTH_2_50,vdd,Metal1,719.0000,4706.2750,1.199983
IO_FILL_IO_NORTH_1_100,vdd,Metal1,561.0000,4706.2750,1.199984
IO_FILL_IO_NORTH_1_50,vdd,Metal1,535.0000,4706.2750,1.199985
IO_FILL_IO_NORTH_0_0,vdd,Metal1,345.0000,4706.2750,1.199987
IO_FILL_IO_NORTH_1_0,vdd,Metal1,485.0000,4706.2750,1.199985
IO_FILL_IO_NORTH_0_50,vdd,Metal1,375.0000,4706.2750,1.199987
IO_FILL_IO_NORTH_2_0,vdd,Metal1,669.0000,4706.2750,1.199983
IO_FILL_IO_NORTH_1_102,vdd,Metal1,563.0000,4706.2750,1.199984
IO_FILL_IO_NORTH_3_0,vdd,Metal1,853.0000,4706.2750,1.199982
IO_FILL_IO_NORTH_2_102,vdd,Metal1,747.0000,4706.2750,1.199982
IO_FILL_IO_NORTH_4_0,vdd,Metal1,1037.0000,4706.2750,1.199980
IO_FILL_IO_NORTH_3_102,vdd,Metal1,931.0000,4706.2750,1.199981
IO_FILL_IO_NORTH_5_0,vdd,Metal1,1221.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_4_102,vdd,Metal1,1115.0000,4706.2750,1.199980
IO_FILL_IO_NORTH_6_0,vdd,Metal1,1405.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_5_102,vdd,Metal1,1299.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_7_0,vdd,Metal1,1589.0000,4706.2750,1.199978
IO_FILL_IO_NORTH_6_102,vdd,Metal1,1483.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_8_0,vdd,Metal1,1773.0000,4706.2750,1.199978
IO_FILL_IO_NORTH_7_102,vdd,Metal1,1667.0000,4706.2750,1.199978
IO_FILL_IO_NORTH_9_0,vdd,Metal1,1957.0000,4706.2750,1.199978
IO_FILL_IO_NORTH_8_102,vdd,Metal1,1851.0000,4706.2750,1.199978
IO_FILL_IO_NORTH_10_0,vdd,Metal1,2141.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_9_102,vdd,Metal1,2035.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_11_0,vdd,Metal1,2325.0000,4706.2750,1.199980
IO_FILL_IO_NORTH_10_102,vdd,Metal1,2219.0000,4706.2750,1.199979
IO_FILL_IO_NORTH_12_0,vdd,Metal1,2509.0000,4706.2750,1.199981
IO_FILL_IO_NORTH_11_102,vdd,Metal1,2403.0000,4706.2750,1.199980
